ncaa_name,espn_name,primary_color,secondary_color,tertiary_color,color_4,color_5,color_6,logo_url,color_3,conference,ID
Southern Utah,Southern Utah,#000000,#FFFFFF,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Southern_Utah_Thunderbirds_logo.svg/320px-Southern_Utah_Thunderbirds_logo.svg.png,NA,Big Sky,1381
St. Bonaventure,St Bonaventure,#54261A,#FDB726,#BDB6B0,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/9/9c/St._Bonaventure_Bonnies_logo.svg/320px-St._Bonaventure_Bonnies_logo.svg.png,NA,A-10,1382
St. Francis Brooklyn,St Francis (BKN),#0038A8,#CE1126,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/e/e2/St._Francis_Brooklyn_Terriers_logo.svg,NA,NEC,1383
St. John's (NY),St John's,#BA0C2F,#041C2C,#A7A8AA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/St._John%27s_Red_Storm_logo.svg/172px-St._John%27s_Red_Storm_logo.svg.png,NA,Big East,1385
St. Thomas (MN),St. Thomas - Minnesota,purple,white,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/0/08/St_thomas_tommies.jpg,NA,Summit,9999
Stanford,Stanford,#8C1515,#FFFFFF,#4D4F53,#2E2D29,#007662,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Stanford_Cardinal_logo.svg/157px-Stanford_Cardinal_logo.svg.png,NA,Pac 12,1390
Stetson,Stetson,#006747,#B58150,#9E652E,#000000,NA,NA,https://upload.wikimedia.org/wikipedia/en/1/17/Stetson_Hatters_logo_%282018%29.png,NA,A-Sun,1391
Stony Brook,Stony Brook,#990000,#16243E,#828282,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Stony_Brook_Seawolves_logo.svg/320px-Stony_Brook_Seawolves_logo.svg.png,NA,Am. East,1392
Syracuse,Syracuse,#D44500,#3E3D3C,#6F777D,#ADB3B8,#3E3D3C,#0D1D37,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Syracuse_Orange_logo.svg/177px-Syracuse_Orange_logo.svg.png,NA,ACC,1393
Tarleton St.,Tarleton,#4F2D7F,white,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/56/Tarleton_State_athletics_logo.svg,NA,WAC,1470
TCU,TCU,#4D1979,#A3A9AC,#FFFFFF,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/TCU_Horned_Frogs_logo.svg/320px-TCU_Horned_Frogs_logo.svg.png,NA,Big 12,1395
Temple,Temple,#9D2235,#FFCD00,#8A8D8F,#C1C6C8,#000000,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Temple_T_logo.svg/212px-Temple_T_logo.svg.png,NA,AAC,1396
Tennessee,Tennessee,#FF8200,#58595B,#FFFFFF,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Tennessee_Volunteers_logo.svg/240px-Tennessee_Volunteers_logo.svg.png,NA,SEC,1397
Tennessee St.,Tennessee St,#00539F,#FFFFFF,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/e/ec/Tennessee_State_Tigers_New_Logo.png,NA,OVC,1398
Tennessee Tech,Tenn Tech,#4F2984,#FFDD00,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Tennessee_Tech_Golden_Eagles_logo.svg/315px-Tennessee_Tech_Golden_Eagles_logo.svg.png,NA,OVC,1399
